a.m.;abbr;ˌeɪˈɛm;ранок;до полудня
ability ; n ; əˈbɪlɪti ; здатність, уміння  
which; det., pron.; wɪtʃ; який
whichever; det., pron.; wɪtʃˈevər; який завгодно
while, whilst; conj.; waɪl, waɪlst; тоді як
white; adj., n.; waɪt; білий
who, whom; pron.; huː, huːm; хто, кому
whoever; pron.; huːˈevər; хто б не
whole; adj.; həʊl; цілий
whose; pron.; huːz; чий
why; adv., conj.; waɪ; чому
wide; adj.; waɪd; широкий
width; n.; wɪdθ; ширина
wife; n.; waɪf; дружина
wild; adj.; waɪld; дикий
wildlife; n.; ˈwaɪldlaɪf; дика природа
win; v.; wɪn; вигравати
wind; n.; wɪnd; вітер
window; n.; ˈwɪndəʊ; вікно
windscreen; n.; ˈwɪndskriːn; лобове скло
windsurfing; n.; ˈwɪndsɜːrfɪŋ; віндсерфінг
wing; n.; wɪŋ; крило
wish; v., n.; wɪʃ; бажати; бажання
with; prep.; wɪð; з
within; prep.; wɪˈðɪn; протягом
without; prep.; wɪˈθaʊt; без
witness; n.; ˈwɪtnəs; свідок
woman; n.; ˈwʊmən; жінка
wonder; v., n.; ˈwʌndər; дивуватися; диво
wood; n.; wʊd; дерево (матеріал)
wooden; adj.; ˈwʊdn; дерев'яний
wool; n.; wʊl; вовна
word; n.; wɜːrd; слово
work; n., v.; wɜːrk; робота; працювати
working hours; n.; ˈwɜːrkɪŋ ˈaʊərz; робочий час
world; n.; wɜːrld; світ
worry; v., n.; ˈwʌri; хвилюватися; хвилювання
worse; adj.; wɜːrs; гірше
worst; adj.; wɜːrst; найгірший
worth; adj.; wɜːrθ; вартий
wound; n.; wuːnd; рана
wrap; v.; ræp; загортати
write out; v.; raɪt aʊt; виписувати
wrong; adj.; rɒŋ; неправильний
year; n.; jɪər; рік
yearly; adj.; ˈjɪərli; щорічний
yellow; adj., n.; ˈjeləʊ; жовтий
yes; int.; jes; так
yesterday; n., adv.; ˈjestərdeɪ; вчора
yet; adv., conj.; jet; ще
you know; phr.; juː nəʊ; знаєш
you; pron.; juː; ти, ви
young; adj.; jʌŋ; молодий
your; pron.; jɔːr; ваш
yours; pron.; jɔːrz; ваш (чий?)
yourself; pron.; jɔːrˈself; сам
youth; n.; juːθ; молодь
zebra; n.; ˈzebrə; зебра
zero; n.; ˈzɪərəʊ; нуль
zone; n.; zəʊn; зона
zoo; n.; zuː; зоопарк
